date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:39	101279/101279	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2012:07:46%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/index.html	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/index.html	(from )
15:03:41	109/109	---M-Z	200	added ('OK')	text/plain	date:Fri,%2006%20Sep%202024%2012:03:40%20GMT	https://tunatheme.com/robots.txt		(from )
15:03:41	2521/2521	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Dec%202020%2010:49:02%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/img/favicon.png	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/img/favicon.png	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
15:03:42	64724/64724	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Dec%202020%2014:55:22%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/css/font-icons.css	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/css/font-icons.css	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
15:03:43	246561/246561	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Aug%202021%2009:08:12%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/css/plugins.css	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/css/plugins.css	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
15:03:43	1615/1615	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Dec%202020%2013:39:06%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/css/responsive.css	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/css/responsive.css	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
15:03:44	334109/334109	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Aug%202021%2014:18:50%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/css/style.css	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/css/style.css	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
15:03:44	3113/3113	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Dec%202020%2013:57:26%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/img/logo.png	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/img/logo.png	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
15:03:44	39693/39693	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Jun%202021%2017:24:38%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/login.html	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/login.html	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
15:03:45	42141/42141	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Aug%202021%2006:43:54%20GMT	https://tunatheme.com/tf/html/fiama-preview/fiama/wishlist.html	C:/Users/Orange/Desktop/word/test13/tunatheme.com/tf/html/fiama-preview/fiama/wishlist.html	(from https://tunatheme.com/tf/html/fiama-preview/fiama/index.html)
